Team,Record,ELO,Rank,ELO_Delta,Seed,Region
Hofstra,13-18,1190.89,273,,,
Mercer,12-19,1190.83,274,,,
Central Michigan,10-17,1189.03,275,,,
Fairfield,11-20,1186.33,276,,,
VMI,11-19,1184.31,277,,,
Austin Peay,12-19,1183.81,278,,,
Idaho,12-19,1180.22,279,,,
Lindenwood,13-17,1176.94,280,,,
Stephen F. Austin,11-17,1174.39,281,,,
Texas Southern,12-17,1173.23,282,,,
North Florida,13-17,1171.96,283,,,
Rice,13-18,1170.16,284,,,
Delaware State,12-14,1169.43,285,,,
Penn,8-19,1167.84,286,,,
Siena,14-18,1165.91,287,,,
Ball State,11-17,1165.79,288,,,
FIU,8-23,1163.33,289,,,
Eastern Illinois,9-19,1162.25,290,,,
UTRGV,12-15,1160.86,291,,,
Gardner-Webb,11-20,1159.33,292,,,
Binghamton,12-17,1154.57,293,,,
Mercyhurst,12-16,1153.42,294,,,
North Dakota,9-21,1148.36,295,,,
Army,14-15,1146.48,296,,,
Alcorn State,11-20,1144.98,297,,,
North Carolina Central,10-19,1142.81,298,,,
Florida A&M,12-17,1135.35,299,,,
Missouri State,7-23,1135.25,300,,,
Tennessee-Martin,11-19,1128.89,301,,,
Tennessee Tech,13-17,1127.37,302,,,
Morgan State,10-18,1122.8,303,,,
Charleston Southern,8-22,1122.45,304,,,
UMKC,9-20,1120.59,305,,,
Morehead State,12-17,1119.2,306,,,
Stony Brook,7-24,1118.52,307,,,
Grambling State,9-22,1118.03,308,,,
Weber State,9-22,1115.99,309,,,
Fairleigh Dickinson,10-20,1115.89,310,,,
Columbia,10-15,1115.72,311,,,
Lafayette,12-20,1113.52,312,,,
Niagara,10-20,1113.32,313,,,
Western Illinois,9-19,1112.58,314,,,
Denver,8-21,1112.56,315,,,
Fresno State,6-26,1110.12,316,,,
Western Carolina,5-22,1105.82,317,,,
Eastern Washington,8-22,1105.68,318,,,
UMBC,10-19,1102.16,319,,,
Southern Utah,9-19,1100.44,320,,,
New Hampshire,6-24,1100.09,321,,,
San Diego,5-27,1094.01,322,,,
Southern Miss,9-22,1091.38,323,,,
Pacific,7-24,1089.32,324,,,
IU Indianapolis,7-22,1085.14,325,,,
Stonehill,13-17,1084.65,326,,,
Loyola-Maryland,11-19,1084.27,327,,,
Houston Christian,10-20,1084.02,328,,,
Howard,10-18,1081.49,329,,,
Lehigh,9-19,1072.74,330,,,
Long Beach State,5-25,1072.52,331,,,
Wagner,10-16,1070.49,332,,,
Central Arkansas,7-24,1066.78,333,,,
Buffalo,7-22,1058.42,334,,,
Stetson,6-24,1053.59,335,,,
Air Force,4-28,1046.19,336,,,
